SV_TAXONOMY	TAXONOMY_NAME	RG_REFERENCE	RG_NAME	SV_REFERENCE	SV_NAME	SV_DESCRIPTION	SL_REFERENCE	LC_REFERENCE	PHONE_NUMBER	WEBSITE	EMAIL_ADDRESS	WHEELCHAIR_ACCESSIBLE	LANGUAGE	HOURS	STREET_NUMBER	STREET_NAME	STREET_TYPE	STREET_DIRECTION	CITY	PROVINCE	POSTAL_CODE	LATITUDE	LONGITUDE	811_LINK
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660176	17660175	6045755880	http://www.londondrugs.com		Y	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	17685 64 Avenue				Surrey	BC	V3S 1Z2	49.118783	-122.730371	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660175
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660238	17660237	2508602232	http://www.londondrugs.com		N	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	1950 Harvey Avenue				Kelowna	BC	V1Y 8J8	49.882043	-119.452176	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660237
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660170	17660169	6045334631	http://www.londondrugs.com		Y	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	20202 66 Avenue				Langley	BC	V2Y 1P3	49.122595	-122.662595	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660169
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660204	17660203	6049803661	http://www.londondrugs.com		N	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 10 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	2032 Lonsdale Avenue				North Vancouver	BC	V7M 2K5	49.327635	-123.072190	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660203
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660228	17660227	6042631811	http://www.londondrugs.com		N	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	2091 42nd Avenue W				Vancouver	BC	V6M 2B4	49.233614	-123.154994	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660227
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660192	17660191	2507072360	http://www.londondrugs.com		N	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	2151 Louie Drive				West Kelowna	BC	V4T 1Y2	49.841412	-119.610880	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660191
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660216	17660215	6047426000	http://www.londondrugs.com		N	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 10 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	2230 Broadway W				Vancouver	BC	V6K 2E3	49.263864	-123.155972	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660215
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660168	17660167	6044630991	http://www.londondrugs.com		N	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	22709 Lougheed Highway				Maple Ridge	BC	V2X 2V5	49.216926	-122.593382	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660167
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660200	17660199	6045887881	http://www.londondrugs.com		N	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	2340 Guildford Town Centre				Surrey	BC	V3R 1B9	49.188031	-122.803806	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660199
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660240	17660239	6042534484	http://www.londondrugs.com		N	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	2585 Hastings Street E				Vancouver	BC	V5K 1Z1	49.281256	-123.052522	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660239
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660182	17660181	6048703790	http://www.londondrugs.com		N	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory holidays, 9 a.m. - 9 p.m.	3122 Mt. Lehman Road				Abbotsford	BC	V2T 0C5	49.058872	-122.378989	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660181
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660214	17660213	6048208059	http://www.londondrugs.com		N	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	32555 London Avenue				Mission	BC	V2V 6M7	49.128845	-122.317647	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660213
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660180	17660179	2505492888	http://www.londondrugs.com		Y	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	4400 32nd Street				Vernon	BC	V1T 9H2	50.277483	-119.275414	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660179
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660224	17660223	6045700252	http://www.londondrugs.com		Y	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	4567 Lougheed Highway				Burnaby	BC	V5C 3Z6	49.266485	-123.001660	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660223
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660234	17660233	6044379621	http://www.londondrugs.com		N	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	4970 Kingsway				Burnaby	BC	V5H 2E2	49.226239	-122.992762	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660233
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660188	17660187	6048725177	http://www.londondrugs.com		N	English	Mon - Fri, 8 a.m. - 10 p.m.; Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 10 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	525 Broadway W				Vancouver	BC	V5Z 1E6	49.263469	-123.115972	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660187
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660230	17660229	6043226050	http://www.londondrugs.com		N	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	5639 Victoria Drive				Vancouver	BC	V5P 3W2	49.233298	-123.065533	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660229
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660210	17660209	6042784521	http://www.londondrugs.com		N	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 10 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	5971 No.3 Road				Richmond	BC	V6X 2E3	49.170524	-123.136541	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660209
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660222	17660221	6044124171	http://www.londondrugs.com		Y	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	7280 Market Crossing				Burnaby	BC	V5J 0A2	49.199872	-122.982825	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660221
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660206	17660205	6045919544	http://www.londondrugs.com		N	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	7303 120 Street				Delta	BC	V4C 6P5	49.135109	-122.890448	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660205
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660198	17660197	2503811113	http://www.londondrugs.com		N	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	911 Yates Street				Victoria	BC	V8V 4Y9	48.425630	-123.358744	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660197
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660226	17660225	6044442222	http://www.londondrugs.com		N	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	9855 Austin Road				Burnaby	BC	V3J 1N4	49.251180	-122.895470	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660225
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660220	17660219	2504746657	http://www.londondrugs.com		Y	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	1907 Sooke Road				Victoria	BC	V9B 1V8	48.441570	-123.470097	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660219
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660174	17660173	6044643322	http://www.londondrugs.com		Y	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	2929 Barnet Highway				Coquitlam	BC	V3B 5R5	49.277083	-122.800408	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660173
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660208	17660207	6048588347	http://www.londondrugs.com		N	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	45585 Luckakuck Way				Chilliwack	BC	V2R 1A1	49.140768	-121.961856	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660207
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660156	17660155	2507602031	http://www.londondrugs.com		Y	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	4750 Rutherford Road				Nanaimo	BC	V9T 4K6	49.215130	-124.025510	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660155
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660186	17660185	2507534433	http://www.londondrugs.com		Y	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	650 Terminal Avenue				Nanaimo	BC	V9R 5E2	49.163972	-123.934996	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660185
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660218	17660217	2503600296	http://www.londondrugs.com		Y	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	3170 Tillicum Road				Victoria	BC	V9A 7C5	48.453374	-123.394040	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660217
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660164	17660163	6049465642	http://www.londondrugs.com		Y	English	Mon - Sat, 9 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	5237 48 Avenue				Delta	BC	V4K 1W4	49.090225	-123.077505	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660163
LH-6600	Pharmacies	17660153	London Drugs	17660154	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660202	17660201	6045241121	http://www.londondrugs.com		Y	English	Mon - Sat, 8 a.m. - 10 p.m.; Sun, 10 a.m. - 8 p.m.; Statutory Holidays, 9 a.m. - 9 p.m.	555 6th Street				New Westminster	BC	V3L 5H1	49.212620	-122.919692	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660154&SiteResourceAgencyNum=17660201
LH-6600	Pharmacies	17660972	PriceSmart Foods	17660978	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand, and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660994	17660993	6045886292	http://www.pricesmartfoods.ca/	customer_service@owfg.com	N	English	Mon - Sun, 8 a.m. - 10 p.m.; holidays 10 a.m. - 6 p.m.	10312 King George Boulevard				Surrey	BC	V3T 2W5	49.190036	-122.845240	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660978&SiteResourceAgencyNum=17660993
LH-6600	Pharmacies	17660972	PriceSmart Foods	17660978	Late Night Pharmacy Services	Provides late night pharmacy services for individuals to obtain, understand, and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.	17660984	17660983	6048546293	http://www.pricesmartfoods.ca/	customer_service@owfg.com	Y	English	Mon - Sat, 8 a.m. - 10 p.m.; Sun, holidays, 10 a.m. - 6 p.m	32700 South Fraser Way				Abbotsford	BC	V2T 4M5	49.051131	-122.317578	http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660978&SiteResourceAgencyNum=17660983
